"[Account_Value]","[Account_Name]","[Account_Description]","[Account_Type]","[Account_Sign]","[Account_Document]","[Account_Summary]","[Default_Account]","[Account_Parent]","[Balance Sheet]","[Balance Sheet_Name]","[US 1120 Balance Sheet]","US 1120 Balance Sheet_Name","[Profit & Loss]","[Profit & Loss_Name]","[US 1120 Income Statement]","[US 1120 Income Statement_Name]","[Cash Flow]","[Cash Flow_Name]"
716,"Verbindl. gg.UN mit Beteiligg.verh. b.1J","Verbindl. gg.UN mit Beteiligg.verh. b.1J","Liability",,"Yes","No",,,,,,,,,,,,
720,"Verbindl. gg.UN mit Beteiligg.verh. 1-5J","Verbindl. gg.UN mit Beteiligg.verh. 1-5J","Liability",,"Yes","No",,,,,,,,,,,,
725,"Verbindl. gg.UN mit Beteiligg.verh. g.5J","Verbindl. gg.UN mit Beteiligg.verh. g.5J","Liability",,"Yes","No",,,,,,,,,,,,
730,"Verbindlichkeit.gg. Gesellschaftern","Verbindlichkeit.gg. Gesellschaftern","Liability",,"Yes","No",,,,,,,,,,,,
731,"Verbindlichkeit.gg. Gesellschaftern b.1J","Verbindlichkeit.gg. Gesellschaftern b.1J","Liability",,"Yes","No",,,,,,,,,,,,
740,"Verbindlichkeit.gg. Gesellschaftern 1-5J","Verbindlichkeit.gg. Gesellschaftern 1-5J","Liability",,"Yes","No",,,,,,,,,,,,
750,"Verbindlichkeit.gg. Gesellschaftern g.5J","Verbindlichkeit.gg. Gesellschaftern g.5J","Liability",,"Yes","No",,,,,,,,,,,,
755,"Verb.gg.Gesellschaftern off.Ausschüttg.","Verb.gg.Gesellschaftern off.Ausschüttg.","Liability",,"Yes","No",,,,,,,,,,,,
760,"Darlehen typ. stiller Gesellschafter","Darlehen typ. stiller Gesellschafter","Liability",,"Yes","No",,,,,,,,,,,,
761,"Darlehen typ. stiller Gesellsch.(b.1J)","Darlehen typ. stiller Gesellsch.(b.1J)","Liability",,"Yes","No",,,,,,,,,,,,
764,"Darlehen typ. stiller Gesellsch.(1-5J)","Darlehen typ. stiller Gesellsch.(1-5J)","Liability",,"Yes","No",,,,,,,,,,,,
767,"Darlehen typ. stiller Gesellsch.(g.5J)","Darlehen typ. stiller Gesellsch.(g.5J)","Liability",,"Yes","No",,,,,,,,,,,,
770,"Darlehen atyp. stiller Gesellschafter","Darlehen atyp. stiller Gesellschafter","Liability",,"Yes","No",,,,,,,,,,,,
771,"Darlehen atyp. stiller Gesellsch.(b.1J)","Darlehen atyp. stiller Gesellsch.(b.1J)","Liability",,"Yes","No",,,,,,,,,,,,
774,"Darlehen atyp. stiller Gesellsch.(1-5J)","Darlehen atyp. stiller Gesellsch.(1-5J)","Liability",,"Yes","No",,,,,,,,,,,,
777,"Darlehen atyp. stiller Gesellsch.(g.5J)","Darlehen atyp. stiller Gesellsch.(g.5J)","Liability",,"Yes","No",,,,,,,,,,,,
780,"Partiarische Darlehen","Partiarische Darlehen","Liability",,"Yes","No",,,,,,,,,,,,
781,"Partiarische Darlehen(bis 1 Jahr)","Partiarische Darlehen(bis 1 Jahr)","Liability",,"Yes","No",,,,,,,,,,,,
784,"Partiarische Darlehen(1-5 Jahre)","Partiarische Darlehen(1-5 Jahre)","Liability",,"Yes","No",,,,,,,,,,,,
787,"Partiarische Darlehen(g. 5 Jahre)","Partiarische Darlehen(g. 5 Jahre)","Liability",,"Yes","No",,,,,,,,,,,,
799,"Gegenkonto bei Aufteilung Kto 0790-98","Gegenkonto bei Aufteilung Kto 0790-98","Liability",,"Yes","No",,,,,,,,,,,,
800,"Gezeichnetes Kapital","Gezeichnetes Kapital","Liability",,"Yes","No",,,,,,,,,,,,
801,"Ausstehende Einlage nicht eingefordert","Ausstehende Einlage nicht eingefordert","Liability",,"Yes","No",,,,,,,,,,,,
810,"Ausstehende Einlagen eingefordert","Ausstehende Einlagen eingefordert","Liability",,"Yes","No",,,,,,,,,,,,
820,"Ausstehende Einlage nicht eingefordert","Ausstehende Einlage nicht eingefordert","Liability",,"Yes","No",,,,,,,,,,,,
830,"Ausstehende Einlage eingefordert","Ausstehende Einlage eingefordert","Liability",,"Yes","No",,,,,,,,,,,,
839,"Eingeforderte Nachschüsse","Eingeforderte Nachschüsse","Liability",,"Yes","No",,,,,,,,,,,,
840,"Kapitalrücklage","Kapitalrücklage","Liability",,"Yes","No",,,,,,,,,,,,
841,"Kapitalrücklage/Anteile ü. Nennbetrag","Kapitalrücklage/Anteile ü. Nennbetrag","Liability",,"Yes","No",,,,,,,,,,,,
842,"Kapitalrückl./Ausgabe Schuldverschr.","Kapitalrückl./Ausgabe Schuldverschr.","Liability",,"Yes","No",,,,,,,,,,,,
843,"Kapitalrücklage gg. Vorzugsgewährung","Kapitalrücklage gg. Vorzugsgewährung","Liability",,"Yes","No",,,,,,,,,,,,
844,"Kapital-RL durch andere Zuzahl.i.das EK","Kapital-RL durch andere Zuzahl.i.das EK","Liability",,"Yes","No",,,,,,,,,,,,
845,"Eingefordertes Nachschußkapital","Eingefordertes Nachschußkapital","Liability",,"Yes","No",,,,,,,,,,,,
846,"Gesetzliche Rücklage","Gesetzliche Rücklage","Liability",,"Yes","No",,,,,,,,,,,,
847,"Gesetzl. Rücklage 40% Vorbelastung","Gesetzl. Rücklage 40% Vorbelastung","Liability",,"Yes","No",,,,,,,,,,,,
848,"Gesetzl. Rücklage 0% Vorbelastung EK04","Gesetzl. Rücklage 0% Vorbelastung EK04","Liability",,"Yes","No",,,,,,,,,,,,
849,"Gesetzl. Rücklage 0% Vorbelastung EK02","Gesetzl. Rücklage 0% Vorbelastung EK02","Liability",,"Yes","No",,,,,,,,,,,,
850,"Rücklage für eigene Anteile","Rücklage für eigene Anteile","Liability",,"Yes","No",,,,,,,,,,,,
851,"Satzungsmäßige Rücklagen","Satzungsmäßige Rücklagen","Liability",,"Yes","No",,,,,,,,,,,,
852,"Satzungsm.Rücklagen 40% Vorbelastung","Satzungsm.Rücklagen 40% Vorbelastung","Liability",,"Yes","No",,,,,,,,,,,,
853,"Satzungsm.Rücklagen 0% Vorbelastung EK04","Satzungsm.Rücklagen 0% Vorbelastung EK04","Liability",,"Yes","No",,,,,,,,,,,,
854,"Satzungsm.Rücklagen 0% Vorbelastung EK02","Satzungsm.Rücklagen 0% Vorbelastung EK02","Liability",,"Yes","No",,,,,,,,,,,,
855,"Andere Gewinnrückl. 40% Vorbelastung","Andere Gewinnrückl. 40% Vorbelastung","Liability",,"Yes","No",,,,,,,,,,,,
856,"Eigenkapitalanteil von Wertaufholungen","Eigenkapitalanteil von Wertaufholungen","Liability",,"Yes","No",,,,,,,,,,,,
857,"Andere Gewinnrücklagen","Andere Gewinnrücklagen","Liability",,"Yes","No",,,,,,,,,,,,
858,"Andere Gewinnrückl. 0% Vorbelastung EK04","Andere Gewinnrückl. 0% Vorbelastung EK04","Liability",,"Yes","No",,,,,,,,,,,,
859,"Andere Gewinnrückl. 0% Vorbelastung EK02","Andere Gewinnrückl. 0% Vorbelastung EK02","Liability",,"Yes","No",,,,,,,,,,,,
860,"Gewinnvortrag vor Verwendung","Gewinnvortrag vor Verwendung","Liability",,"Yes","No","INCOMESUMMARY_ACCT",,,,,,,,,,,
862,"Gewinnvortrag 40% Vorbelastung","Gewinnvortrag 40% Vorbelastung","Liability",,"Yes","No",,,,,,,,,,,,
864,"Gewinnvortrag  0% Vorbelastung EK04","Gewinnvortrag  0% Vorbelastung EK04","Liability",,"Yes","No",,,,,,,,,,,,
866,"Gewinnvortrag  0% Vorbelastung EK02","Gewinnvortrag  0% Vorbelastung EK02","Liability",,"Yes","No",,,,,,,,,,,,
868,"Verlustvortrag vor Verwendung","Verlustvortrag vor Verwendung","Liability",,"Yes","No",,,,,,,,,,,,
869,"Vortrag auf neue Rechnung (Bilanz)","Vortrag auf neue Rechnung (Bilanz)","Liability",,"Yes","No",,,,,,,,,,,,
870,"Festkapital","Festkapital","Liability",,"Yes","No",,,,,,,,,,,,
880,"Variables Kapital","Variables Kapital","Liability",,"Yes","No",,,,,,,,,,,,
890,"Gesellschafter-Darlehen","Gesellschafter-Darlehen","Liability",,"Yes","No",,,,,,,,,,,,
900,"Kommandit-Kapital","Kommandit-Kapital","Liability",,"Yes","No",,,,,,,,,,,,
910,"Verlustausgleich","Verlustausgleich","Liability",,"Yes","No",,,,,,,,,,,,
920,"Gesellschafter-Darlehen","Gesellschafter-Darlehen","Liability",,"Yes","No",,,,,,,,,,,,
930,"Sonderposten mit Rücklageanteil","Sonderposten mit Rücklageanteil","Liability",,"Yes","No",,,,,,,,,,,,
931,"SoPo m. Rücklageanteil § 6 b EStG","SoPo m. Rücklageanteil § 6 b EStG","Liability",,"Yes","No",,,,,,,,,,,,
932,"SoPo m. Rücklageanteil Abschn. 35 EStR","SoPo m. Rücklageanteil Abschn. 35 EStR","Liability",,"Yes","No",,,,,,,,,,,,
933,"SoPo m. Rücklageanteil § 6 d EStG","SoPo m. Rücklageanteil § 6 d EStG","Liability",,"Yes","No",,,,,,,,,,,,
934,"SoPo m. Rücklageanteil § 1 EntwLStG","SoPo m. Rücklageanteil § 1 EntwLStG","Liability",,"Yes","No",,,,,,,,,,,,
935,"SoPo aus Währungsumstellung auf Euro","SoPo aus Währungsumstellung auf Euro","Liability",,"Yes","No",,,,,,,,,,,,
936,"SoPo m. Rücklageanteil § 7 d EStG","SoPo m. Rücklageanteil § 7 d EStG","Liability",,"Yes","No",,,,,,,,,,,,
937,"SoPo m. Rücklageanteil § 79 EStDV","SoPo m. Rücklageanteil § 79 EStDV","Liability",,"Yes","No",,,,,,,,,,,,
938,"SoPo m. Rücklageanteil § 80 EStDV","SoPo m. Rücklageanteil § 80 EStDV","Liability",,"Yes","No",,,,,,,,,,,,
939,"SoPo m. Rücklageanteil § 52 Abs.16 EStG","SoPo m. Rücklageanteil § 52 Abs.16 EStG","Liability",,"Yes","No",,,,,,,,,,,,
940,"SoPo m. Rücklageanteil § 82 EStDV","SoPo m. Rücklageanteil § 82 EStDV","Liability",,"Yes","No",,,,,,,,,,,,
941,"SoPo m. Rücklageanteil § 82 a EStDV","SoPo m. Rücklageanteil § 82 a EStDV","Liability",,"Yes","No",,,,,,,,,,,,
942,"SoPo m. Rücklageanteil § 82 d EStDV","SoPo m. Rücklageanteil § 82 d EStDV","Liability",,"Yes","No",,,,,,,,,,,,
943,"SoPo m. Rücklageanteil § 82 e EStDV","SoPo m. Rücklageanteil § 82 e EStDV","Liability",,"Yes","No",,,,,,,,,,,,
944,"SoPo m. Rücklageanteil § 14 BerlinFG","SoPo m. Rücklageanteil § 14 BerlinFG","Liability",,"Yes","No",,,,,,,,,,,,
945,"Sopo m. Rücklageanteil FördergebietsG.","Sopo m. Rücklageanteil FördergebietsG.","Liability",,"Yes","No",,,,,,,,,,,,
946,"SoPo mit Rücklageanteil nach § 4d EStG","SoPo mit Rücklageanteil nach § 4d EStG","Liability",,"Yes","No",,,,,,,,,,,,
947,"Sopo mit Rücklageanteil § 7g Abs.1 EStG","Sopo mit Rücklageanteil § 7g Abs.1 EStG","Liability",,"Yes","No",,,,,,,,,,,,
948,"SoPo mit Rücklageanteil 3 7g/3, 7 EStG","SoPo mit Rücklageanteil 3 7g/3, 7 EStG","Liability",,"Yes","No",,,,,,,,,,,,
949,"SoPo m. Rücklageanteil § 74 EStDV","SoPo m. Rücklageanteil § 74 EStDV","Liability",,"Yes","No",,,,,,,,,,,,
950,"Pensions-und ähnliche Rückstellungen","Pensions-und ähnliche Rückstellungen","Liability",,"Yes","No",,,,,,,,,,,,
955,"Steuerrückstellungen","Steuerrückstellungen","Liability",,"Yes","No",,,,,,,,,,,,
957,"Gewerbesteuerrückstellung","Gewerbesteuerrückstellung","Liability",,"Yes","No",,,,,,,,,,,,
963,"Körperschaftsteuerrückstellung","Körperschaftsteuerrückstellung","Liability",,"Yes","No",,,,,,,,,,,,
969,"Rückstellung für latente Steuern","Rückstellung für latente Steuern","Liability",,"Yes","No",,,,,,,,,,,,
970,"Sonstige Rückstellungen","Sonstige Rückstellungen","Liability",,"Yes","No",,,,,,,,,,,,
971,"Rückstellungen Instandhaltung bis 3 M","Rückstellungen Instandhaltung bis 3 M","Liability",,"Yes","No",,,,,,,,,,,,
972,"Rückstellungen Instandhaltung 4-12 M","Rückstellungen Instandhaltung 4-12 M","Liability",,"Yes","No",,,,,,,,,,,,
973,"Rückstellungen Abraum-/Abfallbeseit.","Rückstellungen Abraum-/Abfallbeseit.","Liability",,"Yes","No",,,,,,,,,,,,
974,"Rückstellungen f. Gewährleistungen","Rückstellungen f. Gewährleistungen","Liability",,"Yes","No",,,,,,,,,,,,
976,"Rückstellungen f. drohende Verluste","Rückstellungen f. drohende Verluste","Liability",,"Yes","No",,,,,,,,,,,,
977,"Rückstellungen f. Abschluß u.Prüfung","Rückstellungen f. Abschluß u.Prüfung","Liability",,"Yes","No",,,,,,,,,,,,
978,"Aufwandsrückstellungen § 249 II HGB","Aufwandsrückstellungen § 249 II HGB","Liability",,"Yes","No",,,,,,,,,,,,
979,"Rückstellungen für Umweltschutz","Rückstellungen für Umweltschutz","Liability",,"Yes","No",,,,,,,,,,,,
