[Account_Value],[Account_Name],[Account_Description],[Account_Type],[Account_Sign],[Account_Document],[Account_Summary],[Default_Account],[Account_Parent],[Balance Sheet],[Balance Sheet_Name],[US 1120 Balance Sheet],US 1120 Balance Sheet_Name,[Profit & Loss],[Profit & Loss_Name],[US 1120 Income Statement],[US 1120 Income Statement_Name],[Cash Flow],[Cash Flow_Name]
2903,AJUST.PT.DEPREC.CHELT.DE DEZVOLTARE,AJUST.PT.DEPREC.CHELT.DE DEZVOLTARE,Asset,B,,Yes,,290,5,B,,,B,A.A.I.01,290,2903,19,19
2905,AJUST.PT.DEPREC.CONCESIUNILOR  BREVETELOR  LICENTELOR  MARCI,AJUST.PT.DEPREC.CONCESIUNILOR  BREVETELOR  LICENTELOR  MARCILOR COMERCIALE  DREPTURILOR SI ACTIVELOR SIMILARE,Asset,B,,Yes,,290,5,B,,,B,A.A.I.01,290,2905,20,20
2907,AJUST.PT.DEPREC.FONDULUI COMERCIAL,AJUST.PT.DEPREC.FONDULUI COMERCIAL,Asset,B,,Yes,,290,5,B,,,B,A.A.I.01,290,2907,21,21
2908,AJUST.PT.DEPREC.ALTOR IMOBILIZ.NECORPORALE,AJUST.PT.DEPREC.ALTOR IMOBILIZ.NECORPORALE,Asset,B,,Yes,,290,5,B,,,B,A.A.I.01,290,2908,22,22
2933,AJUST.PT.DEPREC.IMOBILIZ.NECORPORALE IN CURS DE EXECUTIE,AJUST.PT.DEPREC.IMOBILIZ.NECORPORALE IN CURS DE EXECUTIE,Asset,B,,Yes,,A.A.I.01,4,B,,,B,A.A.I.01,293,2933,23,23
A.A.II.02,IMOBILIZARI CORPORALE,IMOBILIZARI CORPORALE,Asset,B,,Yes,,A.A.04,3,E,,,B,A.A.II.02,A.A,A.A.II.02,24,24
211,TERENURI SI AMENAJARI DE TERENURI,TERENURI SI AMENAJARI DE TERENURI,Asset,B,,Yes,,A.A.II.02,4,C,,,B,A.A.II.02,211,211,25,25
2111,TERENURI ,TERENURI ,Asset,B,,Yes,,211,5,B,,,B,A.A.II.02,211,2111,26,26
2112,AMENAJARI DE TERENURI ,AMENAJARI DE TERENURI ,Asset,B,,Yes,,211,5,B,,,B,A.A.II.02,211,2112,27,27
212,CONSTRUCTII,CONSTRUCTII,Asset,B,,Yes,,A.A.II.02,4,C,,,B,A.A.II.02,212,212,28,28
213,INSTALATII TEHNICE  MIJLOACE DE TRANSPORT  ANIMALE SI PLANTA,INSTALATII TEHNICE  MIJLOACE DE TRANSPORT  ANIMALE SI PLANTATII ,Asset,B,,Yes,,A.A.II.02,4,C,,,B,A.A.II.02,213,213,29,29
2131,ECHIPAMENTE TEHNOLOGICE,ECHIPAMENTE TEHNOLOGICE,Asset,B,,Yes,,213,5,B,,,B,A.A.II.02,213,2131,30,30
2132,APARATE SI INSTALATII DE MASURARE CONTROL SI REGLARE MASINI ,APARATE SI INSTALATII DE MASURARE CONTROL SI REGLARE MASINI UTILAJE SI INSTALATII DE LUCRU ,Asset,B,,Yes,,213,5,B,,,B,A.A.II.02,213,2132,31,31
2133,MIJLOACE DE TRANSPORT,MIJLOACE DE TRANSPORT,Asset,B,,Yes,,213,5,B,,,B,A.A.II.02,213,2133,32,32
2134,ANIMALE SI PLANTATII,ANIMALE SI PLANTATII,Asset,B,,Yes,,213,5,B,,,B,A.A.II.02,213,2134,33,33
214,MOBILIER  APARATURA BIROTICA  ECHIPAMENTE DE PROTECTIE A VAL,MOBILIER  APARATURA BIROTICA  ECHIPAMENTE DE PROTECTIE A VALORILOR UMANE SI MATERIALE SI ALTE ACTIVE CORPORALE,Asset,B,,Yes,,A.A.II.02,4,C,,,B,A.A.II.02,214,214,34,34
231,IMOBILIZARI CORPORALE IN CURS DE EXECUTIE,IMOBILIZARI CORPORALE IN CURS DE EXECUTIE,Asset,B,,Yes,,A.A.II.02,4,C,,,B,A.A.II.02,231,231,35,35
232,AVANSURI ACORDATE PT.IMOBILIZARI CORPORALE,AVANSURI ACORDATE PT.IMOBILIZARI CORPORALE,Asset,B,,Yes,,A.A.II.02,4,C,,,B,A.A.II.02,232,232,36,36
281,AMORTIZARI PRIVIND IMOBILIZARILE CORPORALE ,AMORTIZARI PRIVIND IMOBILIZARILE CORPORALE ,Asset,B,Yes,Yes,A_ACCUMDEPRECIATION_ACCT,A.A.II.02,4,C,,,B,A.A.II.02,281,281,37,37
2811,AMORTIZ.AMENAJARILOR DE TERENURI,AMORTIZ.AMENAJARILOR DE TERENURI,Asset,B,,Yes,,281,5,B,,,B,A.A.II.02,281,2811,38,38
2812,AMORTIZ.CONSTRUCTIILOR,AMORTIZ.CONSTRUCTIILOR,Asset,B,,Yes,,281,5,B,,,B,A.A.II.02,281,2812,39,39
2813,AMORTIZ.INSTALATIILOR  MIJL.DE TRANSPORT  ANIMALELOR SI PLAN,AMORTIZ.INSTALATIILOR  MIJL.DE TRANSPORT  ANIMALELOR SI PLANTATIILOR,Asset,B,,Yes,,281,5,B,,,B,A.A.II.02,281,2813,40,40
2814,AMORTIZ.ALTOR IMOBILIZARI CORPORALE,AMORTIZ.ALTOR IMOBILIZARI CORPORALE,Asset,B,,Yes,,281,5,B,,,B,A.A.II.02,281,2814,41,41
291,AJUST.PT.DEPREC.IMOBILIZ.CORPORALE ,AJUST.PT.DEPREC.IMOBILIZ.CORPORALE ,Asset,B,,Yes,,A.A.II.02,4,C,,,B,A.A.II.02,291,291,42,42
2911,AJUST.PT.DEPREC.TERENURILOR SI AMENAJARILOR DE TERENURI,AJUST.PT.DEPREC.TERENURILOR SI AMENAJARILOR DE TERENURI,Asset,B,,Yes,,291,5,B,,,B,A.A.II.02,291,2911,43,43
2912,AJUST.PT.DEPREC.CONSTRUCTIILOR,AJUST.PT.DEPREC.CONSTRUCTIILOR,Asset,B,,Yes,,291,5,B,,,B,A.A.II.02,291,2912,44,44
2913,AJUST.PT.DEPREC.INSTALATIILOR  MIJL.DE TRANSPORT  ANIMALELOR,AJUST.PT.DEPREC.INSTALATIILOR  MIJL.DE TRANSPORT  ANIMALELOR SI PLANTATIILOR,Asset,B,,Yes,,291,5,B,,,B,A.A.II.02,291,2913,45,45
2914,AJUST.PT.DEPREC.ALTOR IMOBILIZARI CORPORALE,AJUST.PT.DEPREC.ALTOR IMOBILIZARI CORPORALE,Asset,B,,Yes,,291,5,B,,,B,A.A.II.02,291,2914,46,46
2931,AJUST.PT.DEPREC.IMOBILIZ.CORPORALE IN CURS DE EXECUTIE,AJUST.PT.DEPREC.IMOBILIZ.CORPORALE IN CURS DE EXECUTIE,Asset,B,,Yes,,A.A.II.02,4,B,,,B,A.A.II.02,293,2931,47,47
A.A.III.03,IMOBILIZARI FINANCIARE,IMOBILIZARI FINANCIARE,Asset,B,,Yes,,A.A.04,3,E,,,B,A.A.III.03,A.A,A.A.III.03,48,48
261,ACTIUNI DETINUTE LA ENTITATILE AFILIATE,ACTIUNI DETINUTE LA ENTITATILE AFILIATE,Asset,B,,Yes,,A.A.III.03,4,C,,,B,A.A.III.03,261,261,49,49
263,INTERESE DE PARTICIPARE,INTERESE DE PARTICIPARE,Asset,B,,Yes,,A.A.III.03,4,C,,,B,A.A.III.03,263,263,50,50
264,TITLURI PUSE IN ECHIVALENTA (CONS),TITLURI PUSE IN ECHIVALENTA (CONS),Asset,B,,Yes,,A.A.III.03,4,C,,,B,A.A.III.03,264,264,51,51
265,ALTE TITLURI IMOBILIZATE,ALTE TITLURI IMOBILIZATE,Asset,B,,Yes,,A.A.III.03,4,C,,,B,A.A.III.03,265,265,52,52
267,CREANTE IMOBILIZATE ,CREANTE IMOBILIZATE ,Asset,B,,Yes,,A.A.III.03,4,C,,,B,A.A.III.03,267,267,53,53
2671,SUME DATORATE DE ENTITATILE AFILIATE,SUME DATORATE DE ENTITATILE AFILIATE,Asset,B,,Yes,,267,5,B,,,B,A.A.III.03,267,2671,54,54
2672,DOB.AFERENTA SUMELOR DATORATE DE ENTITATILE AFILIATE,DOB.AFERENTA SUMELOR DATORATE DE ENTITATILE AFILIATE,Asset,B,,Yes,,267,5,B,,,B,A.A.III.03,267,2672,55,55
2673,CREANTE LEGATE DE INTERESELE DE PARTICIPARE,CREANTE LEGATE DE INTERESELE DE PARTICIPARE,Asset,B,,Yes,,267,5,B,,,B,A.A.III.03,267,2673,56,56
2674,DOB.AFERENTA CREANTELOR LEGATE DE INTERESELE DE PARTICIPARE,DOB.AFERENTA CREANTELOR LEGATE DE INTERESELE DE PARTICIPARE,Asset,B,,Yes,,267,5,B,,,B,A.A.III.03,267,2674,57,57
2675,IMPRUMUTURI ACORDATE PE TERMEN LUNG,IMPRUMUTURI ACORDATE PE TERMEN LUNG,Asset,B,,Yes,,267,5,B,,,B,A.A.III.03,267,2675,58,58
2676,DOB.AFERENTA IMPRUMUTURILOR ACORDATE PE TERMEN LUNG,DOB.AFERENTA IMPRUMUTURILOR ACORDATE PE TERMEN LUNG,Asset,B,,Yes,,267,5,B,,,B,A.A.III.03,267,2676,59,59
2678,ALTE CREANTE IMOBILIZATE,ALTE CREANTE IMOBILIZATE,Asset,B,,Yes,,267,5,B,,,B,A.A.III.03,267,2678,60,60
2679,DOB.AFERENTE ALTOR CREANTE IMOBILIZATE,DOB.AFERENTE ALTOR CREANTE IMOBILIZATE,Asset,B,,Yes,,267,5,B,,,B,A.A.III.03,267,2679,61,61
296,AJUST. PT.PIERD. DE VAL. A IMOBILIZ.FINANCIARE,AJUST. PT.PIERD. DE VAL. A IMOBILIZ.FINANCIARE,Asset,B,,Yes,,A.A.III.03,4,C,,,B,A.A.III.03,296,296,62,62
2961,AJUST. PT.PIERD. DE VAL. A ACTIUNILOR DETINUTE LA ENTITATILE,AJUST. PT.PIERD. DE VAL. A ACTIUNILOR DETINUTE LA ENTITATILE AFILIATE,Asset,B,,Yes,,296,5,B,,,B,A.A.III.03,296,2961,63,63
2962,AJUST. PT.PIERD. DE VAL. A INTERESELOR DE PARTICIPARE,AJUST. PT.PIERD. DE VAL. A INTERESELOR DE PARTICIPARE,Asset,B,,Yes,,296,5,B,,,B,A.A.III.03,296,2962,64,64
2963,AJUST. PT.PIERD. DE VAL. A ALTOR TITLURI IMOBILIZATE,AJUST. PT.PIERD. DE VAL. A ALTOR TITLURI IMOBILIZATE,Asset,B,,Yes,,296,5,B,,,B,A.A.III.03,296,2963,65,65
2964,AJUST. PT.PIERD. DE VAL. A SUMELOR DATORATE DE ENTITATILE AF,AJUST. PT.PIERD. DE VAL. A SUMELOR DATORATE DE ENTITATILE AFILIATE,Asset,B,,Yes,,296,5,B,,,B,A.A.III.03,296,2964,66,66
2965,AJUST. PT.PIERD. DE VAL. A CREANTELOR LEGATE DE INTERESELE D,AJUST. PT.PIERD. DE VAL. A CREANTELOR LEGATE DE INTERESELE DE PARTICIPARE,Asset,B,,Yes,,296,5,B,,,B,A.A.III.03,296,2965,67,67
2966,AJUST. PT.PIERD. DE VAL. A IMPRUMUTURILOR ACORDATE PE TERMEN,AJUST. PT.PIERD. DE VAL. A IMPRUMUTURILOR ACORDATE PE TERMEN LUNG,Asset,B,,Yes,,296,5,B,,,B,A.A.III.03,296,2966,68,68
2968,AJUST. PT.PIERD. DE VAL. A ALTOR CREANTE IMOBILIZATE,AJUST. PT.PIERD. DE VAL. A ALTOR CREANTE IMOBILIZATE,Asset,B,,Yes,,296,5,B,,,B,A.A.III.03,296,2968,69,69
A.B.09,ACTIVE CIRCULANTE,ACTIVE CIRCULANTE,Asset,B,,Yes,,A,2,E,,,B,A.B.09,A.B,A.B.09,70,70
A.B.I.05,STOCURI,STOCURI,Asset,B,,Yes,,A.B.09,3,E,,,B,A.B.I.05,A.B,A.B.I.05,71,71
301,MATERII PRIME,MATERII PRIME,Asset,B,,Yes,,A.B.I.05,4,C,,,B,A.B.I.05,301,301,72,72
302,MATERIALE CONSUMABILE ,MATERIALE CONSUMABILE ,Asset,B,,Yes,,A.B.I.05,4,C,,,B,A.B.I.05,302,302,73,73
3021,MATERIALE AUXILIARE,MATERIALE AUXILIARE,Asset,B,,Yes,,302,5,B,,,B,A.B.I.05,302,3021,74,74
3022,COMBUSTIBILI,COMBUSTIBILI,Asset,B,,Yes,,302,5,B,,,B,A.B.I.05,302,3022,75,75
3023,MATERIALE PT.AMBALAT,MATERIALE PT.AMBALAT,Asset,B,,Yes,,302,5,B,,,B,A.B.I.05,302,3023,76,76
3024,PIESE DE SCHIMB,PIESE DE SCHIMB,Asset,B,,Yes,,302,5,B,,,B,A.B.I.05,302,3024,77,77
3025,SEMINTE SI MATERIALE DE PLANTAT,SEMINTE SI MATERIALE DE PLANTAT,Asset,B,,Yes,,302,5,B,,,B,A.B.I.05,302,3025,78,78
3026,FURAJE,FURAJE,Asset,B,,Yes,,302,5,B,,,B,A.B.I.05,302,3026,79,79
3028,ALTE MATERIALE CONSUMABILE,ALTE MATERIALE CONSUMABILE,Asset,B,,Yes,,302,5,B,,,B,A.B.I.05,302,3028,80,80
303,MATERIALE DE NATURA OBIECTELOR DE INVENTAR,MATERIALE DE NATURA OBIECTELOR DE INVENTAR,Asset,B,,Yes,,A.B.I.05,4,C,,,B,A.B.I.05,303,303,81,81
308,DIFERENTE DE PRET LA MATERII PRIME SI MATERIALE,DIFERENTE DE PRET LA MATERII PRIME SI MATERIALE,Asset,B,,Yes,,A.B.I.05,4,C,,,B,A.B.I.05,308,308,82,82
331,PRODUSE IN CURS DE EXECUTIE,PRODUSE IN CURS DE EXECUTIE,Asset,B,,Yes,,A.B.I.05,4,C,,,B,A.B.I.05,331,331,83,83
332,LUCRARI SI SERVICII IN CURS DE EXECUTIE,LUCRARI SI SERVICII IN CURS DE EXECUTIE,Asset,B,,Yes,,A.B.I.05,4,C,,,B,A.B.I.05,332,332,84,84
341,SEMIFABRICATE,SEMIFABRICATE,Asset,B,,Yes,,A.B.I.05,4,C,,,B,A.B.I.05,341,341,85,85
345,PRODUSE FINITE,PRODUSE FINITE,Asset,B,,Yes,,A.B.I.05,4,C,,,B,A.B.I.05,345,345,86,86
346,PRODUSE REZIDUALE,PRODUSE REZIDUALE,Asset,B,,Yes,,A.B.I.05,4,C,,,B,A.B.I.05,346,346,87,87
348,DIFERENTE DE PRET LA PRODUSE,DIFERENTE DE PRET LA PRODUSE,Asset,B,,Yes,,A.B.I.05,4,C,,,B,A.B.I.05,348,348,88,88
351,MATERII SI MATERIALE AFLATE LA TERTI,MATERII SI MATERIALE AFLATE LA TERTI,Asset,B,,Yes,,A.B.I.05,4,C,,,B,A.B.I.05,351,351,89,89
354,PRODUSE AFLATE LA TERTI,PRODUSE AFLATE LA TERTI,Asset,B,,Yes,,A.B.I.05,4,C,,,B,A.B.I.05,354,354,90,90
356,ANIMALE AFLATE LA TERTI,ANIMALE AFLATE LA TERTI,Asset,B,,Yes,,A.B.I.05,4,C,,,B,A.B.I.05,356,356,91,91
357,MARFURI AFLATE LA TERTI,MARFURI AFLATE LA TERTI,Asset,B,,Yes,,A.B.I.05,4,C,,,B,A.B.I.05,357,357,92,92
358,AMBALAJE AFLATE LA TERTI,AMBALAJE AFLATE LA TERTI,Asset,B,,Yes,,A.B.I.05,4,C,,,B,A.B.I.05,358,358,93,93
361,ANIMALE SI PASARI,ANIMALE SI PASARI,Asset,B,,Yes,,A.B.I.05,4,C,,,B,A.B.I.05,361,361,94,94
368,DIFERENTE DE PRET LA ANIMALE SI PASARI,DIFERENTE DE PRET LA ANIMALE SI PASARI,Asset,B,,Yes,,A.B.I.05,4,C,,,B,A.B.I.05,368,368,95,95
371,MARFURI,MARFURI,Asset,B,,Yes,,A.B.I.05,4,C,,,B,A.B.I.05,371,371,96,96
378,DIFERENTE DE PRET LA MARFURI,DIFERENTE DE PRET LA MARFURI,Asset,B,,Yes,,A.B.I.05,4,C,,,B,A.B.I.05,378,378,97,97
381,AMBALAJE,AMBALAJE,Asset,B,,Yes,,A.B.I.05,4,C,,,B,A.B.I.05,381,381,98,98
388,DIFERENTE DE PRET LA AMBALAJE,DIFERENTE DE PRET LA AMBALAJE,Asset,B,,Yes,,A.B.I.05,4,C,,,B,A.B.I.05,388,388,99,99
391,AJUST.PT.DEPREC.MATERIILOR PRIME,AJUST.PT.DEPREC.MATERIILOR PRIME,Asset,B,,Yes,,A.B.I.05,4,C,,,B,A.B.I.05,391,391,100,100
392,AJUST.PT.DEPREC.MATERIILOR PRIME,AJUST.PT.DEPREC.MATERIILOR PRIME,Asset,B,,Yes,,A.B.I.05,4,C,,,B,A.B.I.05,392,392,101,101
3921,AJUST.PT.DEPREC.MATERIALELOR CONSUMABILE,AJUST.PT.DEPREC.MATERIALELOR CONSUMABILE,Asset,B,,Yes,,392,5,B,,,B,A.B.I.05,392,3921,102,102
3922,AJUST.PT.DEPREC.MATERIALELOR DE NATURA OBIECTELOR DE INVENTA,AJUST.PT.DEPREC.MATERIALELOR DE NATURA OBIECTELOR DE INVENTAR,Asset,B,,Yes,,392,5,B,,,B,A.B.I.05,392,3922,103,103
393,AJUST.PT.DEPREC.PRODUCTIEI IN CURS DE EXECUTIE,AJUST.PT.DEPREC.PRODUCTIEI IN CURS DE EXECUTIE,Asset,B,,Yes,,A.B.I.05,4,C,,,B,A.B.I.05,393,393,104,104
394,AJUST.PT.DEPREC.PRODUSELOR ,AJUST.PT.DEPREC.PRODUSELOR ,Asset,B,,Yes,,A.B.I.05,4,C,,,B,A.B.I.05,394,394,105,105
3941,AJUST.PT.DEPREC.SEMIFABRICATELOR,AJUST.PT.DEPREC.SEMIFABRICATELOR,Asset,B,,Yes,,394,5,B,,,B,A.B.I.05,394,3941,106,106
3945,AJUST.PT.DEPREC.PRODUSELOR FINITE,AJUST.PT.DEPREC.PRODUSELOR FINITE,Asset,B,,Yes,,394,5,B,,,B,A.B.I.05,394,3945,107,107
3946,AJUST.PT.DEPREC.PRODUSELOR REZIDUALE,AJUST.PT.DEPREC.PRODUSELOR REZIDUALE,Asset,B,,Yes,,394,5,B,,,B,A.B.I.05,394,3946,108,108
395,AJUST.PT.DEPREC.STOCURILOR AFLATE LA TERTI ,AJUST.PT.DEPREC.STOCURILOR AFLATE LA TERTI ,Asset,B,,Yes,,A.B.I.05,4,C,,,B,A.B.I.05,395,395,109,109
3951,AJUST.PT.DEPREC.MATERIILOR SI MATERIALELOR AFLATE LA TERTI,AJUST.PT.DEPREC.MATERIILOR SI MATERIALELOR AFLATE LA TERTI,Asset,B,,Yes,,395,5,B,,,B,A.B.I.05,395,3951,110,110
3952,AJUST.PT.DEPREC.SEMIFABRICATELOR AFLATE LA TERTI,AJUST.PT.DEPREC.SEMIFABRICATELOR AFLATE LA TERTI,Asset,B,,Yes,,395,5,B,,,B,A.B.I.05,395,3952,111,111
3953,AJUST.PT.DEPREC.PRODUSELOR FINITE AFLATE LA TERTI,AJUST.PT.DEPREC.PRODUSELOR FINITE AFLATE LA TERTI,Asset,B,,Yes,,395,5,B,,,B,A.B.I.05,395,3953,112,112
3954,AJUST.PT.DEPREC.PRODUSELOR REZIDUALE AFLATE LA TERTI,AJUST.PT.DEPREC.PRODUSELOR REZIDUALE AFLATE LA TERTI,Asset,B,,Yes,,395,5,B,,,B,A.B.I.05,395,3954,113,113
3956,AJUST.PT.DEPREC.ANIMALELOR AFLATE LA TERTI,AJUST.PT.DEPREC.ANIMALELOR AFLATE LA TERTI,Asset,B,,Yes,,395,5,B,,,B,A.B.I.05,395,3956,114,114
3957,AJUST.PT.DEPREC.MARFURILOR AFLATE LA TERTI,AJUST.PT.DEPREC.MARFURILOR AFLATE LA TERTI,Asset,B,,Yes,,395,5,B,,,B,A.B.I.05,395,3957,115,115
3958,AJUST.PT.DEPREC.AMBALAJELOR AFLATE LA TERTI,AJUST.PT.DEPREC.AMBALAJELOR AFLATE LA TERTI,Asset,B,,Yes,,395,5,B,,,B,A.B.I.05,395,3958,116,116
396,AJUST.PT.DEPREC.ANIMALELOR,AJUST.PT.DEPREC.ANIMALELOR,Asset,B,,Yes,,A.B.I.05,4,C,,,B,A.B.I.05,396,396,117,117
397,AJUST.PT.DEPREC.MARFURILOR,AJUST.PT.DEPREC.MARFURILOR,Asset,B,,Yes,,A.B.I.05,4,C,,,B,A.B.I.05,397,397,118,118
398,AJUST.PT.DEPREC.AMBALAJELOR,AJUST.PT.DEPREC.AMBALAJELOR,Asset,B,,Yes,,A.B.I.05,4,C,,,B,A.B.I.05,398,398,119,119
4091,FURNIZORI-DEBITORI PT.CUMPARARI DE BUNURI DE NATURA STOCURIL,FURNIZORI-DEBITORI PT.CUMPARARI DE BUNURI DE NATURA STOCURILOR,Asset,B,,Yes,,A.B.I.05,4,B,,,B,A.B.I.05,409,4091,120,120
4428,TVA NEEXIGIBILA,TVA NEEXIGIBILA,Asset,B,,Yes,,A.B.I.05,4,B,,,B,A.B.I.05,442,4428,121,121
A.B.II.06,CREANTE,CREANTE,Asset,B,,Yes,,A.B.09,3,E,,,B,A.B.II.06,A.B,A.B.II.06,122,122
4092,FURNIZORI-DEBITORI PT.PRESTARI DE SERVICII SI EXECUTARI DE L,FURNIZORI-DEBITORI PT.PRESTARI DE SERVICII SI EXECUTARI DE LUCRARI,Asset,B,,Yes,,A.B.II.06,4,B,,,B,A.B.II.06,409,4092,123,123
411,CLIENTI ,CLIENTI ,Asset,B,,Yes,,A.B.II.06,4,C,,,B,A.B.II.06,411,411,124,124
4111,CLIENTI RON,CLIENTI RON,Asset,B,,Yes,,411,5,B,,,B,A.B.II.06,411,4111,125,125
4118,CLIENTI INCERTI SAU IN LITIGIU,CLIENTI INCERTI SAU IN LITIGIU,Asset,B,,Yes,,411,5,B,,,B,A.B.II.06,411,4118,126,126
413,EFECTE DE PRIMIT DE LA CLIENTI,EFECTE DE PRIMIT DE LA CLIENTI,Asset,B,,Yes,,A.B.II.06,4,C,,,B,A.B.II.06,413,413,127,127
418,CLIENTI - FACTURI DE INTOCMIT,CLIENTI - FACTURI DE INTOCMIT,Asset,B,,Yes,,A.B.II.06,4,C,,,B,A.B.II.06,418,418,128,128
425,AVANSURI ACORDATE PERSONALULUI,AVANSURI ACORDATE PERSONALULUI,Asset,B,,Yes,,A.B.II.06,4,C,,,B,A.B.II.06,425,425,129,129
4282,ALTE CREANTE IN LEGATURA CU PERSONALUL,ALTE CREANTE IN LEGATURA CU PERSONALUL,Asset,B,,Yes,,A.B.II.06,4,B,,,B,A.B.II.06,428,4282,130,130
4382,ALTE CREANTE IN LEGATURA CU PERSONALUL,ALTE CREANTE IN LEGATURA CU PERSONALUL,Asset,B,,Yes,,A.B.II.06,4,B,,,B,A.B.II.06,438,4382,131,131
4424,TVA DE RECUPERAT,TVA DE RECUPERAT,Asset,B,,Yes,,A.B.II.06,4,B,,,B,A.B.II.06,442,4424,132,132
4426,TVA DEDUCTIBILA,TVA DEDUCTIBILA,Asset,B,,Yes,,A.B.II.06,4,B,,,B,A.B.II.06,442,4426,133,133
445,SUBVENTII ,SUBVENTII ,Asset,B,,Yes,,A.B.II.06,4,C,,,B,A.B.II.06,445,445,134,134
4451,SUBVENTII GUV.,SUBVENTII GUV.,Asset,B,,Yes,,445,5,B,,,B,A.B.II.06,445,4451,135,135
4452,IMPRUMUTURI NERAMBURSABILE CU CARACTER DE SUBV.,IMPRUMUTURI NERAMBURSABILE CU CARACTER DE SUBV.,Asset,B,,Yes,,445,5,B,,,B,A.B.II.06,445,4452,136,136
4458,ALTE SUME PRIMITE CU CARACTER DE SUBV.,ALTE SUME PRIMITE CU CARACTER DE SUBV.,Asset,B,,Yes,,445,5,B,,,B,A.B.II.06,445,4458,137,137
4482,ALTE CREANTE PRIVIND BUGETUL STATULUI,ALTE CREANTE PRIVIND BUGETUL STATULUI,Asset,B,,Yes,,A.B.II.06,4,B,,,B,A.B.II.06,448,4482,138,138
4511,DECONTARI INTRE ENTITATILE AFILIATE-ACTIV,DECONTARI INTRE ENTITATILE AFILIATE-ACTIV,Asset,B,,Yes,,A.B.II.06,4,B,,,B,A.B.II.06,451,4511,139,139
